candidate_id,candidate_key,first_name,incumbent,last_name,name_display,order,party_id,percent,percent_display,seat,state_id,votes,winner,wasted_votes,winner2,contested,party_id2,state_seat_count
whallon-63700,whallona,Andy,False,Whallon,Andy Whallon,2,republican,36.3,36.3,47,CA,88109,False,88110,0,0,republican,53
rohrabacher-138,rohrabacherd,Dana,True,Rohrabacher,Dana Rohrabacher,1,republican,58.3,58.3,48,CA,178701,True,89350,1,0,republican,53
savary-63704,savarys,Suzanne,False,Savary,Suzanne Savary,2,democrat,41.7,41.7,48,CA,127715,False,127716,0,0,democrat,53
issa-146,issad,Darrell,True,Issa,Darrell Issa,2,republican,50.3,50.3,49,CA,155888,True,77943,1,0,republican,53
applegate-65086,applegated,Doug,False,Applegate,Doug Applegate,1,democrat,49.7,49.7,49,CA,154267,False,154268,0,0,democrat,53
hunter-59681,hunterd,Duncan D.,True,Hunter,Duncan D. Hunter,1,republican,63.5,63.5,50,CA,179937,True,89968,1,0,republican,53
malloy-65088,malloyp,Patrick,False,Malloy,Patrick Malloy,2,democrat,36.5,36.5,50,CA,103646,False,103646,0,0,democrat,53
vargas-52480,vargasj,Juan,True,Vargas,Juan Vargas,2,democrat,72.8,72.8,51,CA,145162,True,72580,1,0,democrat,53
hidalgo-65091,hidalgoj,Juan,False,Hidalgo,Juan Hidalgo Jr.,1,republican,27.2,27.2,51,CA,54362,False,54362,0,0,republican,53
peters-50902,peterss,Scott,True,Peters,Scott Peters,2,democrat,56.5,56.5,52,CA,181253,True,90626,1,0,democrat,53
gitsham-65096,gitshamd,Denise,False,Gitsham,Denise Gitsham,1,republican,43.5,43.5,52,CA,139403,False,139404,0,0,republican,53
davis-157,daviss,Susan,True,Davis,Susan A. Davis,1,democrat,67.0,67.0,53,CA,198988,True,99493,1,0,democrat,53
veltmeyer-65099,veltmeyerj,James,False,Veltmeyer,James Veltmeyer,2,republican,33.0,33.0,53,CA,97968,False,97968,0,0,republican,53
degette-734,degetted,Diana,True,DeGette,Diana DeGette,1,democrat,67.9,67.9,1,CO,257254,True,128626,1,0,democrat,7
stockham-65186,stockhamc,Charles,False,Stockham,Charles Stockham,2,republican,27.7,27.7,1,CO,105030,False,105030,0,0,republican,7
dinges-65633,dingesd,Darrell,False,Dinges,Darrell Dinges,3,libertarian,4.4,4.4,1,CO,16752,False,16752,0,0,other,7
